Gene,Log2FC,p-value,adj_p-value,Significant,-log10(p-value)
DISP1,-0.2408317488823002,0.2547889014081969,,False,0.5938194937705812
TLR5,-0.7231899264312087,0.0009251531686984894,,False,3.0337863593542798
SUSD4,-1.432959407276106,0.23236537522926265,,False,0.6338285856929395
CAPN8,-1.115477217419936,0.2874513073632161,,False,0.5414357117898295
CAPN2,1.1620198033569666,0.041508179813406806,,False,1.3818663105705375
FBXO28,-0.09708726013873914,0.7002412722903923,,False,0.15475229545654506
DEGS1,-1.1159703622002937,0.00034512999610655917,,False,3.4620172934542968
NVL,-0.5391744437239421,0.014385245599358583,,False,1.8420827189988438
CNIH4,-0.20476675065461336,0.4895627268788527,,False,0.3101916548474714
WDR26,0.19633597223775645,0.28097534961043286,,False,0.5513317797310698
CNIH3,-1.7118746132033755,0.21446662667397495,,False,0.6686402791388231
DNAH14,-2.321928094887362,0.1357101726199509,,False,0.8673875970924578
LBR,0.12026364351710583,0.6141847461588424,,False,0.2117009738605608
ENAH,0.45879285496732614,0.053360449356055786,,False,1.272780521819511
SRP9,-0.20987999712971295,0.20346054004477324,,False,0.6915198070900457
LOC121915394,0.0,,,False,
EPHX1,-2.8272246125244056,0.008132880918241228,,False,2.0897555865993165
TMEM63A,-0.7390052914970049,0.002604051749232614,,False,2.584350389465269
LOC121915855,0.0,,,False,
SDE2,-0.46715048840079376,0.022678255092841996,,False,1.6443903639194668
LOC121935385,-0.6217624189241082,0.003156632725520561,,False,2.500775945367406
ACBD3,-0.2778292705102974,0.17035735531581558,,False,0.7686391106777852
LIN9,0.13904116849009984,0.6259681138997925,,False,0.20344778869062963
